method,stage,seed,rmse,rank,observation_rmse,noise_sd,initial_rmse,after_setup_rmse,fit_seconds,uncontended_timing
current,warm,23,0.1336676925420761,6,1.2396520376205444,1.2480897903442383,0.16405896842479706,1.0033838748931885,178.65853450004943,False
current,warm,24,0.13290798664093018,6,1.2399605512619019,1.2485451698303223,0.16390061378479004,0.9573830962181091,171.7939985000121,False
current,warm,25,0.12497160583734512,6,1.2423112392425537,1.2502031326293945,0.15937401354312897,0.9170260429382324,175.6059768999694,False
current,warm,26,0.1266096830368042,6,1.2398825883865356,1.247840404510498,0.14831005036830902,0.868992030620575,94.43354680002085,False
current,warm,27,0.1319797933101654,6,1.238553762435913,1.2474242448806763,0.1654844880104065,0.947898805141449,151.11685440008296,False
current,warm,28,0.1262868195772171,6,1.2387011051177979,1.246756911277771,0.18557322025299072,0.9463676810264587,110.4837498999841,False
current,warm,29,0.12629294395446777,6,1.2416720390319824,1.2494221925735474,0.16132085025310516,0.916487991809845,109.58338350005215,False
current,warm,30,0.1289578378200531,6,1.2416828870773315,1.2498306035995483,0.16629211604595184,0.9618367552757263,178.4134429000551,False
plugin,cgb,1,0.18217507004737854,6,1.238573431968689,1.2506027221679688,0.2683359682559967,0.2683359682559967,14.793456099985633,True
plugin,cgb,2,0.16757330298423767,4,1.238197922706604,1.2497481107711792,0.26214534044265747,0.26214534044265747,15.951229199999943,False
plugin,cgb,3,0.174700066447258,6,1.2360773086547852,1.2476286888122559,0.2645868957042694,0.2645868957042694,23.496999599970877,False
plugin,cgb,4,0.1748550534248352,6,1.238622784614563,1.2505629062652588,0.26429933309555054,0.26429933309555054,18.94978850003099,False
plugin,cgb,5,0.16993148624897003,4,1.243874430656433,1.2555509805679321,0.2651256024837494,0.2651256024837494,17.396812499966472,False
plugin,cgb,6,0.1716107428073883,5,1.2392759323120117,1.2511342763900757,0.26342204213142395,0.26342204213142395,22.58330440003192,False
plugin,cgb,7,0.1700933575630188,5,1.237243413925171,1.2487878799438477,0.2626330554485321,0.2626330554485321,19.98997699993197,False
plugin,cgb,8,0.1708429902791977,4,1.2395105361938477,1.2509684562683105,0.26430651545524597,0.26430651545524597,25.818883399973856,False
plugin,cgb,9,0.17662128806114197,6,1.2376149892807007,1.2496296167373657,0.2639633119106293,0.2639633119106293,24.993066800001543,False
plugin,cgb,10,0.1763273924589157,5,1.2374075651168823,1.2494268417358398,0.264779269695282,0.264779269695282,19.798326900054235,False
plugin,cgb,11,0.1674446016550064,4,1.2343621253967285,1.2458646297454834,0.26008543372154236,0.26008543372154236,16.896368599904235,False
plugin,cgb,12,0.1694876104593277,4,1.2406890392303467,1.2522484064102173,0.26267358660697937,0.26267358660697937,22.30535179999424,False
plugin,cgb,13,0.19261866807937622,5,1.2375160455703735,1.2522492408752441,0.26279523968696594,0.26279523968696594,19.617297100048745,False
plugin,cgb,14,0.1941612958908081,6,1.229982614517212,1.2446951866149902,0.2629595696926117,0.2629595696926117,26.82339229993522,False
plugin,cgb,15,0.17530925571918488,6,1.2356956005096436,1.247566819190979,0.2645880877971649,0.2645880877971649,24.993147400033195,False
plugin,cgb,16,0.16964438557624817,4,1.2397969961166382,1.2513421773910522,0.263805627822876,0.263805627822876,21.846789500064915,False
plugin,cgb,17,0.17056500911712646,5,1.2399474382400513,1.2515393495559692,0.26444387435913086,0.26444387435913086,23.468320699990727,False
plugin,cgb,18,0.17312945425510406,6,1.2399306297302246,1.2518131732940674,0.2635715901851654,0.2635715901851654,30.46877500001574,False
plugin,cgb,19,0.18415550887584686,4,1.2395085096359253,1.252495527267456,0.2646348476409912,0.2646348476409912,20.51553490004153,False
plugin,cgb,20,0.17116855084896088,4,1.2380976676940918,1.2496421337127686,0.26416584849357605,0.26416584849357605,27.330183600017335,False
plugin,cgb,21,0.1699787676334381,4,1.2400157451629639,1.2516825199127197,0.2635412812232971,0.2635412812232971,28.875698799995007,False
plugin,cgb,22,0.17805354297161102,6,1.237196445465088,1.2492293119430542,0.26542553305625916,0.26542553305625916,30.172733099985635,False
plugin,cgb,23,0.16965654492378235,4,1.2380446195602417,1.2496061325073242,0.26161327958106995,0.26161327958106995,24.866588800010504,False
plugin,cgb,24,0.17206941545009613,6,1.2379167079925537,1.249674677848816,0.263873428106308,0.263873428106308,27.602102599979844,False
plugin,cgb,25,0.1715683490037918,6,1.2392998933792114,1.25114107131958,0.2610938847064972,0.2610938847064972,28.79313800003729,False
plugin,cgb,26,0.1686457395553589,4,1.2378249168395996,1.249294400215149,0.26520776748657227,0.26520776748657227,14.254874100035522,False
plugin,cgb,27,0.17546845972537994,6,1.2361420392990112,1.2482609748840332,0.26290369033813477,0.26290369033813477,25.70857679998153,False
plugin,cgb,28,0.1922735869884491,6,1.2337275743484497,1.2485761642456055,0.26042211055755615,0.26042211055755615,18.757396400003927,False
plugin,cgb,29,0.1701522320508957,5,1.238691806793213,1.250482439994812,0.26418885588645935,0.26418885588645935,31.0883905000519,False
